type,timestamp,positions
CONTROL,1926831.2189960852,"[0.138, 0.063, 0.464, -0.135, -0.066, 0.533]"
CONTROL,1946905.8730173856,"[0.141, 0.06, 0.461, -0.138, -0.063, 0.536]"
CONTROL,1966976.8460444175,"[0.144, 0.057, 0.458, -0.141, -0.06, 0.539]"
CONTROL,1987045.7799988799,"[0.147, 0.054, 0.455, -0.144, -0.057, 0.542]"
CONTROL,2007114.4940447994,"[0.15, 0.051, 0.452, -0.147, -0.054, 0.545]"
CONTROL,2027245.938021224,"[0.147, 0.048, 0.449, -0.15, -0.051, 0.548]"
CONTROL,2047316.3620335981,"[0.144, 0.045, 0.446, -0.147, -0.048, 0.551]"
CONTROL,2067387.145012617,"[0.141, 0.042, 0.443, -0.144, -0.045, 0.554]"
CONTROL,2087462.2790142894,"[0.138, 0.039, 0.44, -0.141, -0.042, 0.557]"
CONTROL,2107535.673014354,"[0.135, 0.036, 0.437, -0.138, -0.039, 0.56]"
CONTROL,2127606.3270051964,"[0.132, 0.033, 0.434, -0.135, -0.036, 0.563]"
CONTROL,2147685.3110361844,"[0.129, 0.03, 0.431, -0.132, -0.033, 0.566]"
CONTROL,2167755.015019793,"[0.126, 0.027, 0.428, -0.129, -0.03, 0.569]"
CONTROL,2187825.8490469307,"[0.123, 0.024, 0.425, -0.126, -0.027, 0.572]"
CONTROL,2207898.4020045027,"[0.12, 0.021, 0.422, -0.123, -0.024, 0.575]"
CONTROL,2227971.45601362,"[0.117, 0.018, 0.419, -0.12, -0.021, 0.578]"
CONTROL,2248046.200023964,"[0.114, 0.015, 0.416, -0.117, -0.018, 0.581]"
CONTROL,2268104.1340110824,"[0.111, 0.012, 0.413, -0.114, -0.015, 0.584]"
CONTROL,2288177.708047442,"[0.108, 0.009, 0.41, -0.111, -0.012, 0.587]"
CONTROL,2308252.38104444,"[0.105, 0.006, 0.407, -0.108, -0.009, 0.59]"
CONTROL,2328320.855041966,"[0.102, 0.003, 0.404, -0.105, -0.006, 0.593]"
CONTROL,2348390.8290509135,"[0.099, 0.0, 0.401, -0.102, -0.003, 0.596]"
CONTROL,2368461.203004699,"[0.096, -0.003, 0.398, -0.099, 0.0, 0.599]"
