type,timestamp,positions,velocities,torques
STATE_MOTOR,421524.00402119383,"[-0.10967962633382335, 0.010737865515199488, 0.6327670750028269, 0.12578642460662257, 0.009970875121256667, 0.40897097625329815]","[0.07669903939428206, 0.07669903939428206, 0.0, -0.15339807878856412, -0.15339807878856412, -0.30679615757712825]","[0.159698, 0.045628, 0.34221, 0.273768, 0.11407, 0.250954]"
STATE_MOTOR,441593.80899509415,"[-0.10661166475805206, 0.015339807878856412, 0.6327670750028269, 0.1227184630308513, 0.006902913545485385, 0.40567282321899734]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, -0.38349519697141027]","[0.11407, 0.022814, 0.319396, 0.615978, 0.091256, 0.319396]"
STATE_MOTOR,461667.78303449973,"[-0.10354370318228077, 0.019941750242513333, 0.6327670750028269, 0.11965050145508001, 0.0023009711818284618, 0.4023746701846966]","[0.15339807878856412, 0.23009711818284617, 0.0, -0.15339807878856412, -0.15339807878856412, -0.38349519697141027]","[0.068442, 0.022814, 0.205326, 0.479094, 0.11407, 0.159698]"
STATE_MOTOR,481737.5970305875,"[-0.10047574160650949, 0.023009711818284616, 0.6327670750028269, 0.11658253987930872, -0.0007669903939428206, 0.3997361477572559]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, -0.30679615757712825]","[0.091256, 0.045628, 0.182512, 0.34221, 0.091256, 0.11407]"
STATE_MOTOR,501806.2610179186,"[-0.09587379924285257, 0.026077673394055898, 0.6327670750028269, 0.11504855909142309, -0.003834951969714103, 0.39643799472295516]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, -0.38349519697141027]","[0.091256, 0.068442, 0.159698, 0.57035, 0.182512, 0.250954]"
STATE_MOTOR,521875.1550419256,"[-0.0928058376670813, 0.02914563496982718, 0.6327670750028269, 0.11044661672776616, -0.006902913545485385, 0.3937994722955145]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, -0.30679615757712825]","[0.159698, 0.045628, 0.136884, 0.296582, 0.11407, 0.11407]"
STATE_MOTOR,541944.6890009567,"[-0.08973787609131001, 0.030679615757712823, 0.6327670750028269, 0.10891263593988051, -0.009970875121256667, 0.39050131926121373]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, -0.38349519697141027]","[0.068442, 0.045628, 0.091256, 0.319396, 0.045628, 0.250954]"
STATE_MOTOR,562012.1730025858,"[-0.08820389530342436, 0.0337475773334841, 0.6327670750028269, 0.10431069357622359, -0.013038836697027949, 0.3872031662269129]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, -0.30679615757712825]","[0.022814, 0.045628, 0.182512, 0.501908, 0.182512, 0.296582]"
STATE_MOTOR,582083.0269949511,"[-0.08513593372765309, 0.03681553890925539, 0.6343010557907126, 0.10124273200045232, -0.016106798272799233, 0.3845646437994723]","[0.15339807878856412, 0.15339807878856412, 0.0, -0.15339807878856412, -0.15339807878856412, -0.38349519697141027]","[0.136884, 0.045628, 0.091256, 0.387838, 0.136884, 0.136884]"
STATE_MOTOR,602098.7210213207,"[-0.0820679721518818, 0.03834951969714103, 0.6358350365785983, 0.09817477042468103, -0.019174759848570515, 0.38192612137203164]","[0.15339807878856412, 0.07669903939428206, 0.07669903939428206, -0.15339807878856412, -0.15339807878856412, -0.38349519697141027]","[0.11407, 0.022814, 0.022814, 0.319396, 0.091256, 0.159698]"
