type,timestamp,positions,velocities,torques
STATE_MOTOR,802929.2860301211,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.091256, 0.091256, 2.1445160000000003, 0.0, 0.022814, 0.0]"
STATE_MOTOR,823003.827012144,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.091256, 0.091256, 2.121702, 0.0, 0.0, 0.0]"
STATE_MOTOR,843079.9689958803,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.091256, 0.091256, 2.098888, 0.0, 0.022814, 0.0]"
STATE_MOTOR,863161.819986999,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 2.121702, 0.0, 0.0, 0.0]"
STATE_MOTOR,883240.1219988242,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.091256, 0.091256, 2.098888, 0.0, 0.022814, 0.0]"
STATE_MOTOR,903314.5129797049,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 2.121702, 0.0, 0.022814, 0.0]"
STATE_MOTOR,923381.6750347614,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 2.121702, 0.0, 0.0, 0.0]"
STATE_MOTOR,943453.605985269,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 2.121702, 0.0, 0.0, 0.0]"
STATE_MOTOR,963530.7480348274,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.091256, 0.091256, 2.098888, 0.0, 0.0, 0.0]"
STATE_MOTOR,983606.1290116049,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 2.121702, 0.0, 0.0, 0.0]"
STATE_MOTOR,1003685.261006467,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.091256, 0.068442, 2.098888, 0.0, 0.0, 0.0]"
STATE_MOTOR,1023722.3820295185,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.091256, 0.091256, 2.121702, 0.0, 0.0, 0.0]"
STATE_MOTOR,1043799.8740235344,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.091256, 0.091256, 2.121702, 0.0, 0.0, 0.0]"
STATE_MOTOR,1063874.5949836448,"[-0.008436894333371026, 0.01380582709097077, 0.5806117282147152, 0.0, 0.005368932757599744, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 2.098888, 0.0, 0.0, 0.022814]"
