type,timestamp,positions
CONTROL,2569271.1439915,"[0.024029, 0.014417, 0.514417, -0.014417, 0.0, 0.519223]"
CONTROL,2589343.0649884976,"[0.025745, 0.015447, 0.515447, -0.015447, 0.0, 0.520596]"
CONTROL,2609410.9260011464,"[0.027518, 0.016511, 0.516511, -0.016511, 0.0, 0.522014]"
CONTROL,2629478.6270009354,"[0.029346, 0.017607, 0.517607, -0.017607, 0.0, 0.523476]"
CONTROL,2649564.3780217506,"[0.031228, 0.018737, 0.518737, -0.018737, 0.0, 0.524983]"
CONTROL,2669638.4089882486,"[0.033166, 0.019899, 0.519899, -0.019899, 0.0, 0.526532]"
CONTROL,2689698.080008384,"[0.035157, 0.021094, 0.521094, -0.021094, 0.0, 0.528125]"
CONTROL,2709766.410989687,"[0.037202, 0.022321, 0.522321, -0.022321, 0.0, 0.529761]"
CONTROL,2729835.2420330048,"[0.0393, 0.02358, 0.52358, -0.02358, 0.0, 0.53144]"
CONTROL,2749910.0730055943,"[0.04145, 0.02487, 0.52487, -0.02487, 0.0, 0.53316]"
CONTROL,2769978.885015007,"[0.043652, 0.026191, 0.526191, -0.026191, 0.0, 0.534922]"
CONTROL,2790048.626018688,"[0.045906, 0.027544, 0.527544, -0.027544, 0.0, 0.536725]"
CONTROL,2810121.916991193,"[0.048211, 0.028926, 0.528926, -0.028926, 0.0, 0.538569]"
CONTROL,2830191.3079922087,"[0.050566, 0.030339, 0.530339, -0.030339, 0.0, 0.540453]"
CONTROL,2850259.198981803,"[0.05297, 0.031782, 0.531782, -0.031782, 0.0, 0.542376]"
CONTROL,2870329.5000013895,"[0.055424, 0.033254, 0.533254, -0.033254, 0.0, 0.544339]"
CONTROL,2890406.8209812976,"[0.057926, 0.034756, 0.534756, -0.034756, 0.0, 0.546341]"
CONTROL,2910476.161981933,"[0.060476, 0.036286, 0.536286, -0.036286, 0.0, 0.548381]"
CONTROL,2930545.8330200054,"[0.063074, 0.037844, 0.537844, -0.037844, 0.0, 0.550459]"
CONTROL,2950614.493980538,"[0.065718, 0.039431, 0.539431, -0.039431, 0.0, 0.552574]"
CONTROL,2970692.724979017,"[0.068408, 0.041045, 0.541045, -0.041045, 0.0, 0.554726]"
