type,timestamp,positions
CONTROL,3271408.949047327,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3291479.292034637,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3311548.7440372817,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3331617.326999549,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3351686.3400000148,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3371756.0520162806,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3391828.965046443,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3411899.398022797,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3431971.7200123705,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3452048.333012499,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3472125.7660421543,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3492205.7280200534,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3512282.531009987,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3532353.4440249205,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3552421.956032049,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3572498.989000451,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3592571.7320060357,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3612653.474032413,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3632725.1770417206,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3652797.290007584,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3672870.8920418285,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3692953.745019622,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3713029.976992402,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3733062.000013888,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3753137.5419930555,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3773212.7850176767,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3793287.868029438,"[-0.150552, 0.48275, 0.639196, 0.078927, -0.343981, 0.5]"
CONTROL,3813410.250004381,"[-0.150821, 0.482429, 0.639279, 0.078929, -0.343414, 0.5]"
CONTROL,3833481.1830427498,"[-0.151628, 0.481468, 0.639527, 0.078935, -0.341715, 0.5]"
CONTROL,3853555.5450362153,"[-0.15297, 0.479869, 0.639939, 0.078945, -0.338891, 0.5]"
CONTROL,3873627.007997129,"[-0.15484, 0.477641, 0.640513, 0.078959, -0.334954, 0.5]"
CONTROL,3893696.640036069,"[-0.157232, 0.474792, 0.641247, 0.078977, -0.329919, 0.5]"
CONTROL,3913770.5730390735,"[-0.160135, 0.471334, 0.642138, 0.078999, -0.323808, 0.5]"
CONTROL,3933842.455036938,"[-0.163538, 0.46728, 0.643183, 0.079024, -0.316646, 0.5]"
CONTROL,3953915.3380319476,"[-0.167425, 0.462649, 0.644376, 0.079053, -0.308462, 0.5]"
CONTROL,3973985.5810184963,"[-0.171783, 0.457458, 0.645714, 0.079086, -0.299289, 0.5]"
CONTROL,3994045.013037976,"[-0.176592, 0.451729, 0.64719, 0.079122, -0.289166, 0.5]"
CONTROL,4014117.3060401343,"[-0.181833, 0.445485, 0.648799, 0.079161, -0.278134, 0.5]"
CONTROL,4034209.3480285257,"[-0.187484, 0.438753, 0.650534, 0.079204, -0.266238, 0.5]"
CONTROL,4054285.261023324,"[-0.193522, 0.43156, 0.652388, 0.079249, -0.253528, 0.5]"
CONTROL,4074362.443003338,"[-0.199923, 0.423935, 0.654353, 0.079297, -0.240054, 0.5]"
CONTROL,4094443.276000675,"[-0.206659, 0.41591, 0.656421, 0.079347, -0.225874, 0.5]"
CONTROL,4114519.488008227,"[-0.213704, 0.407518, 0.658583, 0.0794, -0.211045, 0.5]"
CONTROL,4134595.2710253187,"[-0.221028, 0.398793, 0.660832, 0.079455, -0.195627, 0.5]"
CONTROL,4154665.583046153,"[-0.228601, 0.389771, 0.663157, 0.079512, -0.179686, 0.5]"
CONTROL,4174746.125994716,"[-0.236392, 0.380489, 0.665548, 0.07957, -0.163284, 0.5]"
CONTROL,4194816.569040995,"[-0.24437, 0.370986, 0.667997, 0.07963, -0.146492, 0.5]"
CONTROL,4214892.961026635,"[-0.252501, 0.3613, 0.670494, 0.079691, -0.129376, 0.5]"
CONTROL,4234963.624039665,"[-0.260751, 0.351471, 0.673026, 0.079753, -0.112008, 0.5]"
CONTROL,4255035.50603753,"[-0.269088, 0.341539, 0.675586, 0.079815, -0.094459, 0.5]"
CONTROL,4275106.909044553,"[-0.277476, 0.331546, 0.678161, 0.079878, -0.076801, 0.5]"
CONTROL,4295178.941043559,"[-0.285882, 0.321533, 0.680741, 0.079941, -0.059107, 0.5]"
CONTROL,4315260.694012977,"[-0.29427, 0.31154, 0.683316, 0.080004, -0.041449, 0.5]"
CONTROL,4335333.716007881,"[-0.302607, 0.301608, 0.685876, 0.080066, -0.023901, 0.5]"
CONTROL,4355402.729008347,"[-0.310858, 0.29178, 0.688409, 0.080128, -0.006533, 0.5]"
CONTROL,4375476.982037071,"[-0.318989, 0.282093, 0.690905, 0.080189, 0.010583, 0.5]"
CONTROL,4395551.024004817,"[-0.326966, 0.27259, 0.693354, 0.080249, 0.027376, 0.5]"
CONTROL,4415624.15700173,"[-0.334757, 0.263308, 0.695745, 0.080307, 0.043777, 0.5]"
CONTROL,4435696.9490181655,"[-0.342331, 0.254286, 0.69807, 0.080364, 0.059719, 0.5]"
CONTROL,4455774.412024766,"[-0.349655, 0.245561, 0.700319, 0.080419, 0.075136, 0.5]"
CONTROL,4475851.194001734,"[-0.356699, 0.237169, 0.702481, 0.080472, 0.089965, 0.5]"
CONTROL,4495927.797048353,"[-0.363436, 0.229144, 0.704549, 0.080522, 0.104146, 0.5]"
CONTROL,4516003.208991606,"[-0.369836, 0.221519, 0.706514, 0.08057, 0.117619, 0.5]"
CONTROL,4536052.972020116,"[-0.375874, 0.214326, 0.708368, 0.080615, 0.130329, 0.5]"
CONTROL,4556124.725029804,"[-0.381526, 0.207594, 0.710103, 0.080658, 0.142225, 0.5]"
CONTROL,4576196.687004995,"[-0.386766, 0.201351, 0.711712, 0.080697, 0.153257, 0.5]"
CONTROL,4596269.360044971,"[-0.391575, 0.195622, 0.713188, 0.080733, 0.163381, 0.5]"
CONTROL,4616340.4320250265,"[-0.395933, 0.190431, 0.714526, 0.080766, 0.172553, 0.5]"
CONTROL,4636417.675006669,"[-0.399821, 0.185799, 0.715719, 0.080795, 0.180737, 0.5]"
CONTROL,4656495.207047556,"[-0.403223, 0.181746, 0.716764, 0.08082, 0.1879, 0.5]"
CONTROL,4676565.69002429,"[-0.406126, 0.178287, 0.717655, 0.080842, 0.194011, 0.5]"
CONTROL,4696636.19203493,"[-0.408518, 0.175438, 0.718389, 0.08086, 0.199045, 0.5]"
CONTROL,4716706.134029664,"[-0.410388, 0.17321, 0.718963, 0.080874, 0.202982, 0.5]"
CONTROL,4736779.477039818,"[-0.41173, 0.171612, 0.719375, 0.080884, 0.205806, 0.5]"
CONTROL,4756851.309037302,"[-0.412537, 0.17065, 0.719623, 0.08089, 0.207505, 0.5]"
CONTROL,4776921.6620363295,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,4796996.143995784,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,4817061.297013424,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,4837133.38902453,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,4857206.611020956,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,4877279.844018631,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,4897358.086018357,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,4917427.749023773,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,4937496.941012796,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,4957568.354031537,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,4977644.29601375,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,4997714.048018679,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,5017784.211027902,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,5037885.472993366,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,5057959.466008469,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,5078031.478042249,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,5098048.221028876,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,5118125.29299641,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,5138205.265044235,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,5158278.528018855,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,5178359.690005891,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,5198431.622993667,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,5218503.545038402,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,5238576.636998914,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,5258649.080002215,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,5278719.202033244,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,5298786.765022669,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,5318857.407022733,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,5338933.849998284,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,5359006.762038916,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,5379081.783990841,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,5399160.667031538,"[-0.412807, 0.170329, 0.719706, 0.080892, 0.208073, 0.5]"
CONTROL,5419240.618997719,"[-0.412974, 0.170657, 0.719685, 0.080572, 0.207532, 0.5]"
CONTROL,5439312.882022932,"[-0.413474, 0.171639, 0.719623, 0.079615, 0.205912, 0.5]"
CONTROL,5459384.334040806,"[-0.414305, 0.173272, 0.719519, 0.078024, 0.20322, 0.5]"
