type,timestamp,positions,velocities,torques
STATE_MOTOR,883010.983990971,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,903044.5270473137,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,923115.7200410962,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.0, 0.0]"
STATE_MOTOR,943184.4429927878,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.82512, 0.0, 0.045628, 0.0]"
STATE_MOTOR,963252.536021173,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.091256, 1.847934, 0.0, 0.045628, 0.0]"
STATE_MOTOR,983321.6390106827,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1003391.9110428542,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.068442, 1.82512, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1023475.2340475097,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1043544.867017772,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.82512, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1063613.7700057589,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.068442, 1.82512, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1083680.0929973833,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.068442, 1.847934, 0.0, 0.0, 0.0]"
STATE_MOTOR,1103746.6659909114,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.0, 0.0]"
STATE_MOTOR,1123813.3090082556,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1143888.671998866,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1163959.0850099921,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1184025.4380367696,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.0, 0.0]"
STATE_MOTOR,1204044.081037864,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.0, 0.0]"
STATE_MOTOR,1224112.2940322384,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.82512, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1244183.3770135418,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 1.82512, 0.0, 0.0, 0.0]"
STATE_MOTOR,1264256.1300308444,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1284327.0930461586,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.82512, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1304401.0660378262,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1324478.3980189823,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1344555.3010096774,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1364630.7740127668,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1384703.74699682,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.870748, 0.0, 0.045628, 0.0]"
STATE_MOTOR,1404783.75001112,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.091256, 1.847934, 0.0, 0.045628, 0.0]"
STATE_MOTOR,1424857.3430231772,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.870748, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1444928.3060384914,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.045628, 0.0]"
STATE_MOTOR,1464997.099013999,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1485064.3720128573,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.8935620000000002, 0.0, 0.045628, 0.0]"
STATE_MOTOR,1505135.515006259,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1525205.978017766,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.8935620000000002, 0.0, 0.0, 0.0]"
STATE_MOTOR,1545275.8810133673,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1565367.7440132014,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.82512, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1585441.4670029655,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.82512, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1605518.8900209032,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.045628, 0.0]"
STATE_MOTOR,1625590.0530377403,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 1.82512, 0.0, 0.045628, 0.0]"
STATE_MOTOR,1645660.5850253254,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1665729.33801217,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.82512, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1685798.151011113,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 1.847934, 0.0, 0.045628, 0.0]"
STATE_MOTOR,1705866.103991866,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 1.847934, 0.0, 0.045628, 0.0]"
STATE_MOTOR,1725940.767035354,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1746010.3490157053,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.870748, 0.0, 0.045628, 0.0]"
STATE_MOTOR,1766043.8820021227,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1786113.5150305927,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.82512, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1806184.2680326663,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1826255.580992438,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1846327.0240463316,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1866396.336001344,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.82512, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1886472.7290347219,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,1906549.9720163643,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.045628, 0.0]"
