type,timestamp,positions
CONTROL,1946880.6579825468,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1966948.8049694337,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1986965.321993921,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2007036.2389669754,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2027126.0360023007,"[0.0, 1.6e-05, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2047199.7329732403,"[0.0, 6.2e-05, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2067279.2400000617,"[0.0, 0.00014, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2087365.3069720604,"[0.0, 0.000249, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2107439.3739691004,"[0.0, 0.000389, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2127506.8710092455,"[0.0, 0.00056, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2147575.417999178,"[0.0, 0.000762, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2167640.6849874184,"[0.0, 0.000996, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2187709.4919909723,"[0.0, 0.00126, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2207781.018980313,"[0.0, 0.001554, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2227850.146999117,"[0.0, 0.00188, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2247921.6429637745,"[0.0, 0.002236, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2267990.0900111534,"[0.0, 0.002623, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2288056.786986999,"[0.0, 0.003041, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2308126.3849744573,"[0.0, 0.003488, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2328191.342006903,"[0.0, 0.003966, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2348265.098989941,"[0.0, 0.004475, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2368340.2559836395,"[0.0, 0.005013, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2388416.612986475,"[0.0, 0.005581, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2408493.3699923567,"[0.0, 0.006179, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2428564.9770172313,"[0.0, 0.006807, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2448637.05401076,"[0.0, 0.007464, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2468712.2110044584,"[0.0, 0.00815, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2488785.438006744,"[0.0, 0.008865, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2508854.743966367,"[0.0, 0.00961, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2528921.691002324,"[0.0, 0.010383, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2548990.6779839657,"[0.0, 0.011184, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2569060.1050155237,"[0.0, 0.012015, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2589130.671985913,"[0.0, 0.012873, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2609205.39899962,"[0.0, 0.013759, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2629278.4849647433,"[0.0, 0.014673, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2649349.612009246,"[0.0, 0.015614, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2669422.499020584,"[0.0, 0.016583, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2689495.045982767,"[0.0, 0.017578, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2709572.332969401,"[0.0, 0.018601, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2729650.1499949954,"[0.0, 0.01965, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2749722.6760024205,"[0.0, 0.020725, 0.5, 0.0, 0.0, 0.5]"
