type,timestamp,positions
CONTROL,2388895.7030139863,"[-0.0112, 0.03456, 0.49968, -0.03392, 0.01184, 0.5224]"
CONTROL,2408970.1820048504,"[-0.016, 0.0288, 0.5064, -0.0384, 0.0032, 0.532]"
CONTROL,2429048.9410050213,"[-0.0208, 0.02304, 0.51312, -0.03072, -0.00544, 0.5384]"
CONTROL,2449118.1789780967,"[-0.0256, 0.01728, 0.51984, -0.02304, -0.01408, 0.5288]"
CONTROL,2469188.947987277,"[-0.0304, 0.01152, 0.52656, -0.01536, -0.02272, 0.5192]"
CONTROL,2489298.916014377,"[-0.0352, 0.00576, 0.53328, -0.00768, -0.03136, 0.5096]"
CONTROL,2509367.354970891,"[-0.04, 0.0, 0.54, 0.0, -0.04, 0.5]"
CONTROL,2529438.1540152244,"[-0.0352, -0.00576, 0.53328, 0.00768, -0.03136, 0.4904]"
CONTROL,2549510.371987708,"[-0.0304, -0.01152, 0.52656, 0.01536, -0.02272, 0.4808]"
CONTROL,2569587.8409896977,"[-0.0256, -0.01728, 0.51984, 0.02304, -0.01408, 0.4712]"
CONTROL,2589660.7789909467,"[-0.0208, -0.02304, 0.51312, 0.03072, -0.00544, 0.4616]"
CONTROL,2609733.0980119295,"[-0.016, -0.0288, 0.5064, 0.0384, 0.0032, 0.468]"
CONTROL,2629808.5169983096,"[-0.0112, -0.03456, 0.49968, 0.03392, 0.01184, 0.4776]"
CONTROL,2649845.7950074226,"[-0.0064, -0.03968, 0.49296, 0.02624, 0.02048, 0.4872]"
CONTROL,2669918.054016307,"[-0.0016, -0.03392, 0.48624, 0.01856, 0.02912, 0.4968]"
CONTROL,2689989.73199632,"[0.0032, -0.02816, 0.47952, 0.01088, 0.03776, 0.5064]"
CONTROL,2710057.5210060924,"[0.008, -0.0224, 0.4728, 0.0032, 0.0336, 0.516]"
CONTROL,2730128.4300046973,"[0.0128, -0.01664, 0.46608, -0.00448, 0.02496, 0.5256]"
CONTROL,2750198.7980213016,"[0.0176, -0.01088, 0.46064, -0.01216, 0.01632, 0.5352]"
CONTROL,2770278.6970185116,"[0.0224, -0.00512, 0.46736, -0.01984, 0.00768, 0.5352]"
CONTROL,2790349.7950173914,"[0.0272, 0.00064, 0.47408, -0.02752, -0.00096, 0.5256]"
CONTROL,2810421.65402323,"[0.032, 0.0064, 0.4808, -0.0352, -0.0096, 0.516]"
CONTROL,2830490.7020065,"[0.0368, 0.01216, 0.48752, -0.03712, -0.01824, 0.5064]"
CONTROL,2850555.990997236,"[0.0384, 0.01792, 0.49424, -0.02944, -0.02688, 0.4968]"
CONTROL,2870623.5690042377,"[0.0336, 0.02368, 0.50096, -0.02176, -0.03552, 0.4872]"
CONTROL,2890693.6579733156,"[0.0288, 0.02944, 0.50768, -0.01408, -0.03584, 0.4776]"
CONTROL,2910764.3159804866,"[0.024, 0.0352, 0.5144, -0.0064, -0.0272, 0.468]"
CONTROL,2930839.644977823,"[0.0192, 0.03904, 0.52112, 0.00128, -0.01856, 0.4616]"
CONTROL,2950910.7830235735,"[0.0144, 0.03328, 0.52784, 0.00896, -0.00992, 0.4712]"
CONTROL,2970983.3919769153,"[0.0096, 0.02752, 0.53456, 0.01664, -0.00128, 0.4808]"
CONTROL,2991056.4799793065,"[0.0048, 0.02176, 0.53872, 0.02432, 0.00736, 0.4904]"
CONTROL,3011134.2989839613,"[0.0, 0.016, 0.532, 0.032, 0.016, 0.5]"
